ID,Assignments (100),Midterm (100),Final (100),Assignments (30%),Midterm (35%),Final (35%),Total (100%),Grade,Range,Total of A,Assignment of A,Midterm of A,Final of A,Assignment A (30),Midterm 30,final 35,Assignment B (30),Midterm B 30,final 35,meanA,meanB+,meanB,meanC+,meanC,meanD+,meanD,meanF
XX01148,7,87,68,2.1,30.45,23.8,56,D+,51-60, , , , , , , , , , , , , , , ,56, , 
XX01149,40,33,100,12,11.55,35,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX01150,77,3,5,23.1,1.05,1.75,26,F,21-30, , , , , , , ,23.1,1.05,1.75, , , , , , , ,26
XX01151,100,20,88,30,7,30.8,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX01152,27,63,35,8.1,22.05,12.25,42,F,41-50, , , , , , , ,8.1,22.05,12.25, , , , , , , ,42
XX01153,53,80,30,15.9,28,10.5,54,D,51-60, , , , ,15.9,28,10.5, , , , , , , , , ,54, 
XX01154,40,10,57,12,3.5,19.95,35,F,31-40, , , , , , , ,12,3.5,19.95, , , , , , , ,35
XX01155,13,83,68,3.9,29.05,23.8,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX01156,13,100,80,3.9,35,28,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX01157,33,27,78,9.9,9.45,27.3,47,F,41-50, , , , , , , ,9.9,9.45,27.3, , , , , , , ,47
XX01158,93,3,75,27.9,1.05,26.25,55,D+,51-60, , , , , , , , , , , , , , , ,55, , 
XX01159,83,67,35,24.9,23.45,12.25,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX01160,7,67,68,2.1,23.45,23.8,49,F,41-50, , , , , , , ,2.1,23.45,23.8, , , , , , , ,49
XX01161,27,100,88,8.1,35,30.8,74,B,71-80, , , , , , , , , , , , ,74, , , , , 
XX01162,50,17,18,15,5.95,6.3,27,F,21-30, , , , , , , ,15,5.95,6.3, , , , , , , ,27
XX01163,13,50,45,3.9,17.5,15.75,37,F,31-40, , , , , , , ,3.9,17.5,15.75, , , , , , , ,37
XX01164,43,60,75,12.9,21,26.25,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX01165,60,37,55,18,12.95,19.25,50,D,41-50, , , , ,18,12.95,19.25, , , , , , , , , ,50, 
XX01166,80,90,32,24,31.5,11.2,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX01167,87,60,72,26.1,21,25.2,72,B,71-80, , , , , , , , , , , , ,72, , , , , 
XX01168,3,83,60,0.9,29.05,21,51,D,51-60, , , , ,0.9,29.05,21, , , , , , , , , ,51, 
XX01169,70,37,2,21,12.95,0.7,35,F,31-40, , , , , , , ,21,12.95,0.7, , , , , , , ,35
XX01170,7,57,75,2.1,19.95,26.25,48,F,41-50, , , , , , , ,2.1,19.95,26.25, , , , , , , ,48
XX01171,33,60,52,9.9,21,18.2,49,F,41-50, , , , , , , ,9.9,21,18.2, , , , , , , ,49
XX01172,100,63,98,30,22.05,34.3,86,A,81-90,86,100,63,98, , , , , , ,86, , , , , , , 
XX01173,47,53,98,14.1,18.55,34.3,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX01174,3,67,92,0.9,23.45,32.2,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX01175,87,97,28,26.1,33.95,9.8,70,B,61-70, , , , , , , , , , , , ,70, , , , , 
XX01176,67,77,100,20.1,26.95,35,82,A,81-90,82,67,77,100, , , , , , ,82, , , , , , , 
XX01177,70,90,48,21,31.5,16.8,69,C+,61-70, , , , , , , , , , , , , ,69, , , , 
XX01178,73,27,40,21.9,9.45,14,45,F,41-50, , , , , , , ,21.9,9.45,14, , , , , , , ,45
XX01179,90,97,0,27,33.95,0,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX01180,60,7,68,18,2.45,23.8,44,F,41-50, , , , , , , ,18,2.45,23.8, , , , , , , ,44
XX01181,57,90,60,17.1,31.5,21,70,B,61-70, , , , , , , , , , , , ,70, , , , , 
XX01182,97,67,100,29.1,23.45,35,88,A,81-90,88,97,67,100, , , , , , ,88, , , , , , , 
XX01183,30,53,90,9,18.55,31.5,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX01184,10,23,60,3,8.05,21,32,F,31-40, , , , , , , ,3,8.05,21, , , , , , , ,32
XX01185,3,20,42,0.9,7,14.7,23,F,21-30, , , , , , , ,0.9,7,14.7, , , , , , , ,23
XX01186,43,77,88,12.9,26.95,30.8,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX01187,80,20,45,24,7,15.75,47,F,41-50, , , , , , , ,24,7,15.75, , , , , , , ,47
XX01188,57,80,82,17.1,28,28.7,74,B,71-80, , , , , , , , , , , , ,74, , , , , 
XX01189,63,97,10,18.9,33.95,3.5,56,D+,51-60, , , , , , , , , , , , , , , ,56, , 
XX01190,40,7,75,12,2.45,26.25,41,F,41-50, , , , , , , ,12,2.45,26.25, , , , , , , ,41
XX01191,47,53,12,14.1,18.55,4.2,37,F,31-40, , , , , , , ,14.1,18.55,4.2, , , , , , , ,37
XX01192,7,70,52,2.1,24.5,18.2,45,F,41-50, , , , , , , ,2.1,24.5,18.2, , , , , , , ,45
XX01193,0,90,60,0,31.5,21,53,D,51-60, , , , ,0,31.5,21, , , , , , , , , ,53, 
XX01194,30,20,10,9,7,3.5,20,F,11-20, , , , , , , ,9,7,3.5, , , , , , , ,20
XX01195,23,97,25,6.9,33.95,8.75,50,D,41-50, , , , ,6.9,33.95,8.75, , , , , , , , , ,50, 
XX01196,47,53,28,14.1,18.55,9.8,42,F,41-50, , , , , , , ,14.1,18.55,9.8, , , , , , , ,42
XX01197,17,80,88,5.1,28,30.8,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX01198,50,57,75,15,19.95,26.25,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX01199,87,63,42,26.1,22.05,14.7,63,C,61-70, , , , , , , , , , , , , , ,63, , , 
XX01200,13,17,8,3.9,5.95,2.8,13,F,11-20, , , , , , , ,3.9,5.95,2.8, , , , , , , ,13
XX01201,50,13,90,15,4.55,31.5,51,D,51-60, , , , ,15,4.55,31.5, , , , , , , , , ,51, 
XX01202,20,83,20,6,29.05,7,42,F,41-50, , , , , , , ,6,29.05,7, , , , , , , ,42
XX01203,77,93,30,23.1,32.55,10.5,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX01204,63,67,45,18.9,23.45,15.75,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX01205,57,97,85,17.1,33.95,29.75,81,A,81-90,81,57,97,85, , , , , , ,81, , , , , , , 
XX01206,47,20,68,14.1,7,23.8,45,F,41-50, , , , , , , ,14.1,7,23.8, , , , , , , ,45
XX01207,0,57,55,0,19.95,19.25,39,F,31-40, , , , , , , ,0,19.95,19.25, , , , , , , ,39
XX01208,30,50,98,9,17.5,34.3,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX01209,47,30,10,14.1,10.5,3.5,28,F,21-30, , , , , , , ,14.1,10.5,3.5, , , , , , , ,28
XX01210,10,23,12,3,8.05,4.2,15,F,11-20, , , , , , , ,3,8.05,4.2, , , , , , , ,15
XX01211,33,23,92,9.9,8.05,32.2,50,D,41-50, , , , ,9.9,8.05,32.2, , , , , , , , , ,50, 
XX01212,33,73,40,9.9,25.55,14,49,F,41-50, , , , , , , ,9.9,25.55,14, , , , , , , ,49
XX01213,97,7,78,29.1,2.45,27.3,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX01214,17,93,95,5.1,32.55,33.25,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX01215,73,57,0,21.9,19.95,0,42,F,41-50, , , , , , , ,21.9,19.95,0, , , , , , , ,42
XX01216,7,40,62,2.1,14,21.7,38,F,31-40, , , , , , , ,2.1,14,21.7, , , , , , , ,38
XX01217,90,40,60,27,14,21,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX01218,10,37,52,3,12.95,18.2,34,F,31-40, , , , , , , ,3,12.95,18.2, , , , , , , ,34
XX01219,83,60,80,24.9,21,28,74,B,71-80, , , , , , , , , , , , ,74, , , , , 
XX01220,27,17,40,8.1,5.95,14,28,F,21-30, , , , , , , ,8.1,5.95,14, , , , , , , ,28
XX01221,97,33,35,29.1,11.55,12.25,53,D,51-60, , , , ,29.1,11.55,12.25, , , , , , , , , ,53, 
XX01222,57,23,50,17.1,8.05,17.5,43,F,41-50, , , , , , , ,17.1,8.05,17.5, , , , , , , ,43
XX01223,53,57,92,15.9,19.95,32.2,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX01224,100,3,62,30,1.05,21.7,53,D,51-60, , , , ,30,1.05,21.7, , , , , , , , , ,53, 
XX01225,87,87,68,26.1,30.45,23.8,80,A,71-80,80,87,87,68, , , , , , ,80, , , , , , , 
XX01226,3,57,80,0.9,19.95,28,49,F,41-50, , , , , , , ,0.9,19.95,28, , , , , , , ,49
XX01227,67,97,50,20.1,33.95,17.5,72,B,71-80, , , , , , , , , , , , ,72, , , , , 
XX01228,50,70,70,15,24.5,24.5,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX01229,57,100,35,17.1,35,12.25,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX01230,0,60,45,0,21,15.75,37,F,31-40, , , , , , , ,0,21,15.75, , , , , , , ,37
XX01231,43,93,65,12.9,32.55,22.75,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX01232,33,0,2,9.9,0,0.7,11,F,11-20, , , , , , , ,9.9,0,0.7, , , , , , , ,11
XX01233,33,63,88,9.9,22.05,30.8,63,C,61-70, , , , , , , , , , , , , , ,63, , , 
XX01234,7,17,32,2.1,5.95,11.2,19,F,11-20, , , , , , , ,2.1,5.95,11.2, , , , , , , ,19
XX01235,60,50,28,18,17.5,9.8,45,F,41-50, , , , , , , ,18,17.5,9.8, , , , , , , ,45
XX01236,87,0,12,26.1,0,4.2,30,F,21-30, , , , , , , ,26.1,0,4.2, , , , , , , ,30
XX01237,3,3,60,0.9,1.05,21,23,F,21-30, , , , , , , ,0.9,1.05,21, , , , , , , ,23
XX01238,17,47,15,5.1,16.45,5.25,27,F,21-30, , , , , , , ,5.1,16.45,5.25, , , , , , , ,27
XX01239,30,90,60,9,31.5,21,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX01240,83,33,18,24.9,11.55,6.3,43,F,41-50, , , , , , , ,24.9,11.55,6.3, , , , , , , ,43
XX01241,53,83,68,15.9,29.05,23.8,69,C+,61-70, , , , , , , , , , , , , ,69, , , , 
XX01242,20,17,82,6,5.95,28.7,41,F,41-50, , , , , , , ,6,5.95,28.7, , , , , , , ,41
XX01243,60,3,92,18,1.05,32.2,51,D,51-60, , , , ,18,1.05,32.2, , , , , , , , , ,51, 
XX01244,77,10,40,23.1,3.5,14,41,F,41-50, , , , , , , ,23.1,3.5,14, , , , , , , ,41
XX01245,73,80,42,21.9,28,14.7,65,C+,61-70, , , , , , , , , , , , , ,65, , , , 
XX01246,20,97,2,6,33.95,0.7,41,F,41-50, , , , , , , ,6,33.95,0.7, , , , , , , ,41
